X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Wilaya,moughataa,commune,icon_url
-12.2963531222194,15.2167187444866,ديكي  Selibabi,,,,,,-1,0,-1,,,Guidimagha,Wompou,ARR,./0.png
-15.5262102093548,20.6345239654183,رقم 1,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-14.4412014260888,20.807769941166,رمضان,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-9.04843320138752,24.0837161801755,رويشه,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-9.03789849020541,24.4887568987906,رويشه2,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-6.68481546454132,24.8137972969562,سيدينا,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.5156107898802,20.7757203932852,شباك التوسعة,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-6.69117473065853,24.7817611601204,صدام,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-14.406945258379,20.8197533804923,عكروطة,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5087334383279,20.8420711196959,كربت اشوابين-,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-14.4242165051401,20.7888747006655,كربت اظب1,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-14.4242351129651,20.789037393406,كربت اظب2,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-6.67386886663735,24.7482429351658,كربت نافع‎1,description: 1 حادث<br>4 قتلى<br><br>Longitude: <br>Latitude:,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.5777033418417,20.8186763897538,كرت الناقة,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.4741222131997,21.0923530720174,كطع الخيل,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.4737493023276,21.0901494696736,كطع الخيل 2,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.524939596653,20.6726314499974,كنتينر الكبير,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-15.5245307274163,20.6653951015323,كنتينر1,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
-6.68427005410194,24.7893992532045,كونكل,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-9.19897763058543,22.9237430915237,لخشيبه,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.4912251513451,20.905452305451,لعكيلة 1,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.4846113268286,20.902986349538,لعكيلة 2,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.4859973583371,20.9004434477538,لعكيلة 3,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.6938294973224,20.8152011688799,لعكيلة4,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.2544590178877,20.2178562898189,لغلال1,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2475020382553,20.2194656990469,لغلال2,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2223683148622,20.2432017400861,لقشيوة1,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2232769969851,20.2425680682063,لقشيوة2,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.2436069678515,20.238637290895,لقشيوة3,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.513488072902,20.6390349380672,لكريب,,,,,,-1,0,-1,,,Nauodhibou,chami,chami,./0.png
